Roofers Full Name As Stated In Salesforce,Pilot Program?,Wattage Tier 1,Price per watt 1,Wattage Tier 2,Price per watt 2,Wattage Tier 3,Price per watt 3,Wattage Tier 4,Price per watt 4,Template Message,Price per Square,Roofer State,Notes,Adjustments,Roofer Specific Guidelines,Proposal SKUs,Approved for TS,Bulk Partner,Product + Design
Classic Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Clean Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Complete Exteriors,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MS,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
Copp Roofing & Construction Inc,YES,6120,4,8280,4,14400,4,54000,4,"Use the template ""TS Template""",5688,CA,Converts to $4/W,Kcool requested update to change pricing across all tiers to $4.00/W on 11/3/21,No unique requirements,No Changes Needed,Y,N,N
Core Contractors Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Crandall Roofing Inc,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,CA,Converts to $3.75/W,Kcool requested update to change pricing across all tiers to $3.75/W on 7/1/21,No unique requirements,No Changes Needed,Y,N,N
Crown Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
DaBella Exteriors LLC,YES,6120,4.25,8280,4.25,14400,4.25,54000,4.25,"Use the template ""TS Template""",6043.5,CA,Converts to $4.25/W,Troble requested update to change pricing to $4.25/W on 4/1/22,No unique requirements,No Changes Needed,Y,N,N
"Dan Hanell Construction, Inc.",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Davis Roofing,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
DePalma Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Divided Sky Construction,YES,6120,3.6,8280,3.6,14400,3.6,54000,3.6,"Use the template ""TS Template""",5119.2,TX,Converts to $3.60/W,Troy Roble requested update to change pricing across all tiers to $3.60/W on 2/22/22,No unique requirements,No Changes Needed,Y,N,N
Dreamstyle Remodeling Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
EC Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Eco Home Expert,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Einix Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Elevate - confirm roofer account name,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,Upcoming TS Roofer,No unique requirements,No Changes Needed,N,N,N
Elite Roofing,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,NC,Converts to $3.50/W,Jkarsnia requested update to change pricing to $3.50/W on 2/17/22,No unique requirements,No Changes Needed,Y,N,N
Elite Roofing & Solar,YES,6120,0,8280,0,14400,0,54000,0,"Use the template ""TS Template""",0,NC,$0 value to be shown as of 2/9/22,,No unique requirements,No Changes Needed,Y,N,N
Elite Roofing and Contracting,YES,6120,0,8280,0,14400,0,54000,0,"Use the template ""TS Template""",0,NC,$0 value to be shown as of 2/9/22,,No unique requirements,No Changes Needed,Y,N,N
Elite Roofing and Solar Solutions,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Emmaty Renovation & Outdoor Services,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
